"jahr","straftat","anzahl"
"2011","Urkundenfälschung (Art. 251)",57
"2011","Geldwäscherei (Art. 305bis)",3
"2011","Einschleichdiebstahl (Art. 139)",137
"2011","Fahrlässige Körperverletzung (Art. 125)",13
"2011","Hausfriedensbruch (Art. 186)",66
"2011","Einfache Körperverletzung (Art. 123)",119
"2011","Beschimpfung (Art. 177)",21
"2011","Pornografie (Art. 197)",12
"2011","Ungehorsam gegen amtliche Verfügungen (Art. 292)",56
"2011","Unterlassung der Buchführung (Art. 166)",7
"2011","Drohung (Art. 180)",123
"2011","Taschendiebstahl (Art. 139)",211
"2011","Fahrzeugeinbruchdiebstahl (Art. 139)",210
"2011","Erschleichen einer Leistung (Art. 150)",8
"2011","Gewalt + Drohung gegen Behörden + Beamte (Art. 285)",37
"2011","Ordnungswidrige Führung der Geschäftsbücher (Art. 325)",2
"2011","Veruntreuung (Art. 138)",36
"2011","Unrechtmässige Aneignung (Art. 137)",32
"2011","Fälschung von Ausweisen (Art. 252)",17
"2011","Nötigung (Art. 181)",38
"2011","Misswirtschaft (Art. 165)",0
"2011","Verletzung des Schriftgeheimnisses (Art. 179)",7
"2011","Missbrauch einer Fernmeldeanlage (Art. 179septies)",27
"2011","Sexuelle Belästigungen (Art. 198)",21
"2011","Datenbeschädigung (Art. 144bis)",2
"2011","Erpressung (Art. 156)",9
"2011","Beteiligung Angriff (Art. 134)",23
"2011","Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater)",2
"2011","Sexuelle Handlungen mit Kindern (Art. 187)",18
"2011","Raub (Art. 140)",16
"2011","Hinderung einer Amtshandlung (Art. 286)",15
"2011","Ungehorsam des Schuldners im Betreibungs- + Konkursverfahren (Art. 323)",21
"2011","Ungetreue Geschäftsbesorgung (Art. 158)",6
"2011","Fahrlässige Verursachung einer Feuersbrunst (Art. 222)",11
"2011","Sachentziehung (Art. 141)",20
"2011","Verleumdung (Art. 174)",5
"2011","Trickdiebstahl (Art. 139)",53
"2011","Beteiligung Raufhandel (Art. 133)",58
"2011","Üble Nachrede (Art. 173)",10
"2011","Hehlerei (Art. 160)",10
"2011","Erschleichung einer falschen Beurkundung (Art. 253)",0
"2011","Gefährdung des Lebens (Art. 129)",17
"2011","Zechprellerei (Art. 149)",5
"2011","Vergewaltigung (Art. 190)",5
"2011","Unwahre Angaben gegenüber Handelsregisterbehörden (Art. 153)",0
"2011","Amtsanmassung (Art. 287)",1
"2011","Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis)",0
"2011","Falsche Anschuldigung (Art. 303)",9
"2011","Arglistige Vermögensschädigung (Art. 151)",1
"2011","Exhibitionismus (Art. 194)",15
"2011","Verfügung über mit Beschlag belegte Vermögenswerte (Art. 169)",2
"2011","Schändung (Art. 191)",2
"2011","Schwere Körperverletzung (Art. 122)",5
"2011","Tötungsdelikte (Art. 111 - 113/116)",0
"2011","Falscher Alarm (Art. 128bis)",0
"2011","Entreissdiebstahl (Art. 139)",9
"2011","Irreführung der Rechtspflege (Art. 304)",13
"2011","Freiheitsberaubung/Entführung (Art. 183)",5
"2011","Brandstiftung (Art. 221)",4
"2011","Betrügerischer Konkurs oder Pfändungsbetrug (Art. 163)",2
"2011","Gläubigerschädigung durch Vermögensminderung (Art. 164)",1
"2011","Störung der Glaubens- + Kultusfreiheit (Art. 261)",0
"2011","Gewaltdarstellungen (Art. 135)",1
"2011","Schreckung der Bevölkerung (Art. 258)",0
"2011","Fahrlässige Gefährdung (Art. 225)",1
"2011","Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136)",1
"2011","Sexuelle Nötigung (Art. 189)",13
"2011","Störung von Betrieben, die der Allgemeinheit dienen (Art. 239)",1
"2011","Störung des Totenfriedens (Art. 262)",0
"2011","Fahrlässige Tötung (Art. 117)",2
